file_name,ipa
sin_01_00029,"gal gæsīma, polu damā gæsīma, āyudha damā gæsīma, veḍi tæbīma yanādi vaśayen yam kisivak tamā gē atin mudā sattvayakugē śarīrayaṭa yævīm vaśayen karannā vū utsāhaya nissargika prayōga nam vē."
sin_01_00030,"ugul æṭavīma, hul siṭavā tæbīma, tuvakku bæṉda tæbīma, valaval sārā tæbīma yanādiya sthāvara prayōga nam vē."
sin_01_00031,"aṁgam pimbīma, sūniyam kirīma, pilli yævīma ādi vū vidyāvakin karannā vū utsāhaya vidyāmaya prayōga nam vē."
sin_01_00032,ætæm sattvayanaṭa anun næsiya hæki ṛddhi utpattiyen ma pihiṭā tibē.
sin_01_00033,bohō seyin ebaṉdu ṛddhi ættō amanuşyayō ya.
sin_01_00034,"ovunaṭa tamāgē śarīraya dækvīmen da, biya gena dena ves mavā dækvīmen da, biya ganvā manuşyādi sattvayan mæriya hækiya. ē ovungē ṛddhiya ya."
sin_01_00035,e baṉdu ṛddhiyakin karannā vū utsāhaya ṛddhimaya prayōga nam vē.
sin_01_00036,mē sayak vū prayōgayan aturen kavara prayōgayakin vuva da mæruvahot prāṇaghāta pāpaya sidu vē.
sin_01_00037,"'devana bhājana pratikşēpa karami, pattapiṇḍikāṁgaya samādan vemiya' yanu ehi tēruma ya."
sin_01_00038,meya raknā tænættā visin vaḷaṉdana ahara siyalla ma ekavara ek bhājanayakaṭa gena væḷaṉdiya yutuya.
sin_01_00039,miśra vū kalhi væḷaṉdiya nohena āhārayak vē nam eya vaḷaṉdana bhājanayaṭa gena paḷamu va hō pasuva væḷaṉdiya yutu ya.
sin_01_00040,"devana bhājanayak vaśayen kesel patakudu gatahot, dhutāṁgaya biṉdē."
sin_01_00041,āhāraya piḷigannā kalhi da pamaṇa ikmavā no gena sǣhena pamaṇaṭa piḷigata yutu ya.
sin_01_00042,mē dhutāṁga deka ma ekavara samādan vī rækiya hæki ya.
sin_01_00043,maraṇin matu sattvayā anya bhāvayakaṭa pamuṇuvā abhinava pudgalayaku koṭa upadavannā vū kuśalākuśala karmaya janaka karmaya nam vē.
sin_01_00044,tavat kramayakin kiyatot anāgata bhavayehi pratisandhiya gena dennā vū karmaya janaka karma nam vē.
sin_01_00045,aṁga sampūrṇa vī balavat vū kuśalākuśalayō janaka karma veti.
sin_01_00046,durvala karmayō janaka karma bhāvayaṭa no pæmiṇeti.
sin_01_00047,"pratisandhiyak gena dīmaṭa taram śaktiya næti karmayō, janaka karmayakin bhavayehi upan sattvayā haṭa varin vara sæpa duk gena deti"
sin_01_00048,samahara viṭa vipākayak sarvākārayen ma nodī abhāvayaṭa yeti.
sin_01_00049,sugati durgatīnṭa pæmiṇavīmē śaktiya æti bohō janakakarma ek pudgalayakuṭa ættē ya.
sin_01_00050,eyin ek varakaṭa vipāka dennē ek janaka karmayeki.
sin_01_00051,janakakarma bohō gaṇanakaṭa ekavara vipāka dīmaṭa avakāśayak næta.
sin_01_00052,sattvayaku ek ek bhavayaka jīvat vana kālaya ek janaka karmayaka vipākaya labamin siṭina kālaya ya.
sin_01_00053,maraṇayaṭa pæmiṇīmen ē bhavaya keḷavara vū kalhi an janaka karmayakaṭa avakāśa læbē.
sin_01_00054,maraṇāsanna kālayē dī idiripat vū janaka karmayakin sattvayā nævata sugatiyaṭa hō durgatiyaṭa pamuṇuvanu læbē.
sin_01_00055,"sāmānyayen ekak vū ē arthaya hīnārthayaya, paramārthayayi dekoṭasakaṭa bedē."
sin_01_00056,ætæm vacanayak æsuṇu kalhi ehi arthaya vaśayen sitaṭa dænena deya itā mahat deyak hæṭiyaṭa dænuṇat ē dænuṇu deya satyaya vaśayen næti deyak viya hækiya.
sin_01_00057,ætæm vacanayak æsuṇu kalhi ehi arthaya vaśayen dænena deya itā siyum aprakaṭa deyak vuvada eya satyaya vaśayen æti deyak viya hækiya.
sin_01_00058,'mēsaya' yana vacanaya æsuṇu kalhi eyin viśāla vastuvak sitaṭa dæneyi.
sin_01_00059,"eya væḍidura vimasā bæluvahot ehi kelin tæbū lī kæbali satarak da, ēvā ekinekaṭa sambandha kirīmaṭa yedū lī kæbeli satarak da, ēvā mata atuḷa lǣli kæbali kīpayak da, æṇa ṭikak da, dækiya hækiya."
sin_01_00060,"ēvāyin ek deyakudu mēsaya no vē, ē siyalla da mēsaya novē."
sin_01_00061,"ē siyalla mēsaya nam, ē siyalla miṭiyak bæṉda tæbū kalhi da ē lī miṭiya mēsayak viya yutuya."
sin_01_00062,esē no vannē ē siyalla mēsaya novana bævini.
sin_01_00063,lī kæbeli ṭika hæra mēsaya kiyā deyak da næta.
sin_01_00064,mēsaya yana vacanaya æsīmen sitaṭa dænuṇu deya lī kæbali ṭika ē ākārayen ekinekaṭa sambandha kaḷa kalhi ē lī kæbalivala sambandha vī tibena ākāraya anuva æti sæṭiyaṭa sitaṭa hæṉgena satya vaśayen no læbena deyaki.
sin_01_00065,"apa bhāvita karana vacanavalin bohōvak ma æsuṇu kalhi ēvāyin sitaṭa dænena artha, mēsaya yana vacanayen dænena arthaya sēma satyaya vaśayen no læbennā vū arthayōya."
sin_01_00066,"puṭuva, geya, davasa, māsaya, utura, dakuṇa, gonā, minisā yana mē vacanavala artha vimasā balanu."
sin_01_00067,ætæm vacanayak æsuṇu kalhi eyin asannahu gē sitaṭa hæṉgena deya itā aprakaṭa deyak vatudu eya satya vaśayen ætiyak viya hækiya.
sin_01_00068,"citta, phassa, vēdanā, lōbha, dōsa, mōha yanādi vacanavalin hæṉgennā vū arthayō mēsādiya sē mahatva no væṭahena ēvā vuvada satyaya vaśayen ættā vū arthayō ya."
sin_01_00069,"satyaya vaśayen nættā vū arthayaya, satya vaśayen ættā vū arthayaya yana mē dekin satya vaśayen no læbena arthayaṭa vaḍā satyaya vaśayen læbena arthaya usasya."
sin_01_00070,satya vaśayen no læbena arthaya pahatya.
sin_01_00071,ebævin satyaya vaśayen læbena arthaya paramārtha nam vē.
sin_01_00072,satyaya vaśayen nolæbena arthaya hīnārtha nam vē.
sin_01_00073,sitin data hæki sitaṭa dænena dēvalaṭa aramuṇu yayi kiyati.
sin_01_00074,ē aramuṇu piḷibaṉda dænuma sitaya. eya kriyāveki.
sin_01_00075,ehet kathā kirīmēdī pahasuva piṇisa dænīma karana kartṛ kenaku sæṭiyaṭa da pudgalayaku visin karana dæna gænīmaṭa upakaraṇayak vaśayen da gena sita piḷibaṉdava kathā karanu læbē
sin_01_00076,'sitaṭa sæma deya ma dænē ya' yi kiyanuyē sita 'dænīma' karana kartṛ kenaku vaśayen gænīmeni.
sin_01_00077,'minisā sitin dæna gannēya' yi kiyanuyē sita upakaraṇayak vaśayen gænīmeni.
sin_01_00078,kīma kesē kaḷat sæma kalhi ma sita kriyāvak vaśayen ma sælakiya yutu ya.
sin_01_00079,aṉdurehi atagānnā vū kenakuṭa dænenuyē atē sæpuṇa deyak pamaṇaki. no sæpuṇu deyak no dænē.
sin_01_00080,emen sitaṭa dænenuyē da sitehi sæpuṇu deyak pamaṇeki.
sin_01_00081,"kæpiya yutu vastuvak sambandhayen nætiva kæpīmak no viya hækivāk men da, kǣ yutu deyaka sambandhayak nætiva kǣmak noviya hækivāk men da, ælliya yutu deyak nætiva ællīmak noviya hækivāk men da, data yutu deyaka sambandhayen torava dænīmak da no viya hækiya."
sin_01_00082,dænīmak ætivīmaṭa sæma kalhi ma data yutu deyaka sambandhayak tibiya yutu ya.
sin_01_00083,sita sǣma kalhi ma upadinuyē data yutu deya hā gæṭī eya badāgena ma ya.
sin_01_00084,data yutta hā gæṭīma; dænīma namæti pradhāna kriyāva sidu vīmehi dī eya hā bæṉdī sidu vannā vū an kriyāveki. apradhāna kriyāvak vū eya sparśa caitasikaya ya.
sin_01_00085,"tamā ayat deyak anekakuṭa ayiti vīma no ivasannā vū da, tamā ayat deyakin anekakuṭa prayōjanayak vīma no ivasannā vū da, tamāgē sampattiya væni sampattiyak anekakuṭa æti vīma no ivasannā vū da, tamāgē sampattiya anyayan dæka gænīma no ivasannā vū da svabhāvaya mātsaryyaya yi."
sin_01_00086,adhika masuru bava ættē tamāṭa prayōjanayak næti nisā at haḷa deyak vuva da anekaku visin gænīma no ivasayi.
sin_01_00087,tamā ayat deyak dīma gæna kiyanu kima? ætamek taman satu deyak dīma tabā anekaku gē dīma pavā no ivasati.
sin_01_00088,dena anyayanṭa da garhā kereti.
sin_01_00089,anun gē dīma pavā no ivasana ē tada masuru bavaṭa kadariyatāvaya yi kiyanu læbē.
sin_01_00090,"æti vīmaṭa hētu vana vastūn gē vaśayen āvāsa macchariya, kulamacchariya, lābhamacchariya, vaṇṇamacchariyaya, dhammamacchariyaya yi mātsaryya pasak dhammasaṁgaṇiyē dakvā tibē."
sin_01_00091,"ē pañcaprakāra mātsaryyayan aturen āvāsa macchariyen masurukam kaḷavun āvāsavala kuṇu kasaḷa hisa mata tabā hæsirena yakşayan prētayan vana bava da, kulamacchariyen lē vamanaya lē atīsāra haṭagannā bava da, lābhamacchariyen yakşayan prētayan pimburan vana bava da, atthasālinī aṭuvāvehi dakvā tibē."
sin_01_00092,"tavada āvāsa macchariyen narakayehi upadanā bava da, kulamacchariyen alpa lābhī vana bava da, lābhamacchariyen gūtha narakayehi upadanā bava da, vaṇṇa macchariyen upadina upadina jātivala virūpa vana bava da, dhammamacchariyen kukkula narakayehi uphadanā bava da ehi ma dakvā ættē ya."
sin_01_00093,"cittaya hevat sita yanu paramārtha vaśayen hā aparamārtha vaśayen da ættā vū anēka prakārārthayan piḷibaṉda vū dænīma ya, 'cēta, mana, viññāṇa, hadaya, mānasa,' yana mēvā da cittaya ma dakvana pāḷi vacanayō ya."
sin_01_00094,"æsaya, kanaya, nāsayaya, divaya, kayaya, hṛdayaya yana mē sthānayanhi sita pahaḷa vē."
sin_01_00095,eya kriyāvak vuvada vyavahāra pahasuva piṇisa dænīma karana kartṛ śaktiya æti dravyayak sē da karaṇa śaktiya æti dravyayak sē da vyavahāra karanu læbē.
sin_01_00096,"dækīmaya, penīmaya, æsīmaya yanādi vaśayen ē ē ākārayen upadanā sit hæṉdinvīmaṭa pāvicci karana vacana vyavahāra bhāşāvē bohō gaṇanaki."
sin_01_00097,æsehi rūpayak gæṭuṇu kalhi eya piḷibaṉda dænumak hevat sitak pahaḷa vē.
sin_01_00098,eya prakāśa kirīmē dī dænīmaya yana vacanaya vyavahāra no koṭa penīmaya dækīmaya yana vacana vyavahāra karati.
sin_01_00099,æsaṭa hamuvīmen yamak dat kalhi penuṇēya kiyā hō duṭuyēya kiyā hō kiyati.
sin_01_00100,"vacanaya anekak vuvada eyin haṉgavannē dænīma maya, hevat sita ma ya."
sin_01_00101,"kanehi śabdayak gæṭuṇu kalhi, ē haṇḍa dæna gannā sitak upadī."
sin_01_00102,eyaṭa haṇḍa dænuma ya yi no kiyā æsīmaya yi kiyanu læbē.
sin_01_00103,æsīma yana vacanayen dækvennē haṇḍa dannā vū sitaya.
sin_01_00104,nāsayaṭa duṉgaṉdak pivisi kalhi samahara viṭa gaṉdak dænēya yi kiyati.
sin_01_00105,samahara viṭa dænīmaya yana vacanaya no gena gaṉdayayi ma kiyati.
sin_01_00106,ebaṉdu avasthāvaladī 'gaṉdaya' yana vacanayen haṉgavannē da gaṉda dæna gannā sita ma ya
sin_01_00107,rasayak mukhayaṭa pæmiṇi kalhi da samahara viṭa rasak dænēyayi kiyati.
sin_01_00108,samahara viṭa esē no kiyā tittaya æmbulya yanādīn rasayē nama ma kiyati.
sin_01_00109,ebaṉdu avasthāvala dī rasayē namin pavasannē da ē rasaya dannā sita ma ya.
sin_01_00110,śarīrayehi yam kisivak sæpuṇu kalhi samahara viṭa sæpena bava dænēya yi kiyati.
sin_01_00111,"samahara viṭa esē no kiyā sæpīmen vana phalaya haṉgavana ridīmaya, śītalaya, uşṇaya yana vacana kiyati"
sin_01_00112,ebaṉdu avasthāvala dī ē vacanavalin kiyævennē da spraşṭavyaya dannā sitaya.
sin_01_00113,pañcaprasāda sambandhayak nætiva sitak æti vū kalhi samahara viṭa situṇēya yi kiyati.
sin_01_00114,"samahara viṭa dænuṇēya, kalpanā vuṇēya, ōnǣ vunēya, væṭahuṇē ya, tēruṇēya, hæṉguṇēya yanādi vacana kiyati."
sin_01_00115,ē siyallen ma kiyævennē sita ma ya.
sin_01_00116,"karuṇu mesē heyin dækīmaya, penīmaya, æsīmaya, gaṉdaya, suvaṉdaya, tittaya, kasaṭaya, śītaya, uşṇaya, kalpanāvaya, ōnǣkamaya yanādi vacanavalin dækvennā vū arthaya cittaparamārthaya yi data yutuya."
sin_01_00117,mē vacanayan aturen ætæmakin adhikārtha da kiyævē.
sin_01_00118,niværadiva ma sitā gænīmaṭa adhikārtha haḷa yutuya.
sin_01_00119,"saddhāvaya, satiyaya, hiriyaya, ottappayaya, alōbhayaya, adōsayaya, tatramajjhattatāvaya, kāyapassaddhiyaya, cittapassaddhiyaya, kāyalahutāvaya, cittalahutāvaya, kāya mudutāvaya, cittamudutāvaya, kāyakammaññatāvaya, cittakammaññatāvaya, kāyapāguññatāvaya, citta pāguññatāvaya, kāyujjukatāvaya, cittujjukatāvaya"
sin_01_00120,"ædahiya yutu vū buddhādi vastūn kerehi pæhædīma, buddhādi vastūn kerehi viśvāsaya śraddhāva ya."
sin_01_00121,pæhædīmaya yanu piḷigannā svabhāvaya ya.
sin_01_00122,śuddha jalayehi samīpayē pihiṭi vastūngē chāyā penē.
sin_01_00123,vastūn gē chāyā piḷigannā svabhāvayak hevat chāyāvanṭa pravēśa vīmaṭa iḍa dena svabāvayak śuddha jalayehi ættē ya.
sin_01_00124,eya jalayā gē pæhædīma ya.
sin_01_00125,esē ma buddhādīn piḷigannā svabhāvayak buddhādīn gē guṇayanṭa pivisennaṭa iḍa dena svabhāvayak sithi ættē ya.
sin_01_00126,viśvāsaya yi kiyanuyē da ē pæhædīmaṭa ya
sin_01_00127,sakviti rajugē udaka prasādaka māṇikyaya bora diyē lū kalhi ema maḍa sevel ādiya gilā bæsa jalaya pǣdennāk men śraddhāva upan kalhi sitē bora gatiya vū kuśalayaṭa bādhaka vū akuśalayaṭa hita vū nīvaraṇa dharmayō nūpadīm vaśayen sitin paha veti.
sin_01_00128,ē hētuven pækiḷīmak næti va śraddhāva ætiyahuṭa dan diya hæki vē.
sin_01_00129,"sil rækiya hæki vē, bhāvanā kaḷa hæki vē, tavat pin kam kaḷa hæki vē."
sin_01_00130,puṇya kriyā vişayehi idiriyen gaman karana bava da śraddhāvē lakşaṇayaki.
sin_01_00131,napuru satungen gahana gaṁgāvaka depasehi ræsva etera vīmaṭa biyen siṭina jana samūhayā vetaṭa pæmiṇa tamā paḷamuven gaṉgaṭa bæsa anyayan kæṉdavā gena idiriyen yamin anyayan gaṉgin etera karavannā vū vīra puruşayek vē nam śraddhāva ohu væniya.
sin_01_00132,kuśala kriyā vişayehi śraddhāva idiripat vana kalhi samprayukta dharmayō eyaṭa anukūlava tama tamā ayat kriyāvehi yedeti.
sin_01_00133,tamāṭa anukūla karavā gænīm vaśayen samprayukta dharmayan kerehi adhipatikama karana bævin śraddhāva indriyayeki.
sin_01_00134,pratipakşa dharmayan visin no selviya hæki bævin balayeki.
sin_01_00135,eya kuśalayan gannā vū svabhāvayen atak væni ya
sin_01_00136,sakala sampat labā dennā vū svabhāvayen dhanayak væniya.
sin_01_00137,nirvāṇa saṁkhyāta phalaya læbiya hæki vana svabhāvayen bījayak væniya.
sin_01_00138,vesak masa pura tudusvak viya
sin_01_00139,e dina rātriyehi nidrōpagata vū bōdhisattva rājarşīn vahansē eḷi vīgena ena vēlehi pahata saṉdahan sīna pasa duṭu sēka.
sin_01_00140,"maha poḷova yahanek vī ya, himālaya parvataya koṭṭaya viya."
sin_01_00141,"ehi uḍukuru væ nidana bōsatāṇangē dakuṇata avara sayurehi da, vamata pera sayurehi da, pā dakuṇu sayurehi da bæhuṇā ha.' mē un vahansē duṭu paḷamu sīnaya yi."
sin_01_00142,(meya un vahansē lovuturā buduvana bavaṭa pera nimitta ya.)
sin_01_00143,devena sīnaya
sin_01_00144,'un vahansē gē nābhiyen ratu ītana gasek itā usaṭa nægī ahasæ pætira siṭiyē ya.' (mē svapnaya un vahansē ārya aşṭāṁgika mārgaya prativēdha koṭa lovaṭa prakāśa karana bavaṭa pera nimitta ya.)
sin_01_00145,'kaḷu his æti sudu paṇuvō pā mulin nægī daṇa isa dakvā vasā gatha.' (meya bohō gihiyan un vahansē gē upāsakayan vana bavaṭa pera nimitta ya.)
sin_01_00146,sivu vana sīnaya
sin_01_00147,'nānā varṇa lihiṇiyō sivudenek satara desin piyāmbā avut un vahansē gē pā mulæ hottō vahā sudu pæhæ vūha'.
sin_01_00148,(meya sivu kulayan hi ma janayā sasnehi pævidi væ pirisidu væ nivan pæmiṇena bavaṭa pera nimitta ya.)
sin_01_00149,'un vahansē mahat aśūci parvatayak matuyehi ē aśūci yen no tævarī sakman kaḷa sēka.' (meya sivupasa bohō sē læbetat ehi no ælena bavaṭa pera nimitta ya.)
sin_01_00150,ajapal nugaruk karā yāma
sin_01_00151,"'mahā puruşayāṇan vahansē mekī svapna pasa dæka, tumū ma ē visaṉdā balā, taman 'budu vana bava nisæka' yi dænæ, pasu dā udaya ma siruru piḷidægum koṭa, gos ajapal nuga ruk mula bhikşācāra vēlāva tek pera digaṭa muhuṇa lā væḍa un sēka."
sin_01_00152,mesē aparādha væḍī gena yana viṭa mahajanayā gē ārakşāva piṇisa pālakayaku pat kæræ gænma avaśya vi ya.
sin_01_00153,minissu ekræs væ mahā sabhāvak pævætvū ha.
sin_01_00154,pavatnā tattvaya gæna sākacchā koṭa samānacchandayen sudussaku pālaka dhūrayaṭa pat karannaṭa tīndu kæræ gatha.
sin_01_00155,"ovun aturehi vū ārōha pariṇāha sampanna, penumen śōbhana vū ehet tedavan śuravīra puruşayaku tōrā gena ohu tamangē pālakayā kæræ gatha."
sin_01_00156,hæma denā gē sammatiyen pat kæræṇu bævin hē mahāsammata nam viya.
sin_01_00157,"dāna, priya vacana, arthacaryā, samānātmatā yana satara saṁgraha vastuyen janaraṁjanaya karana bævin rāja nam da viya."
sin_01_00158,mē lova æti vū paḷamu maharaju ya.
sin_01_00159,mekī mahāsammata rajuhu ævǣmen ohu put rōja nam kumara raja viya.
sin_01_00160,"ohugē parapurehi piḷiveḷin vararōja, kalyāṇa, vara kalyāṇa, upōsatha, mandhātu, cara, upacara, cētiya, mūcala, mucalinda, sagara, sāgara, bharatha, bhagīratha, ruci, suruci, pratāpa, mahāpratāpa, praṇāda, mahā praṇāda, sudarśana, mahāsudarśana, nēru, mahānēru, accimantu yana rajuhu rajaya kærævūha."
sin_01_00161,"ovungen samaharu kuśāvatī nuvara da samaharu rājagṛha nuvara da, samaharu mithilā nuvara da, rājadhānikoṭa gena janatāva pālanaya kaḷaha."
sin_01_00162,"accimantu raju gē parapurehi samaharu mithilā nuvara da, bohō denek bārāṇasī (baraṇæs) nuvara da, samaharu ayōdhyā ādi kalin kalæ næṁvuṇa nagara da rājadhāni kærægatha."
sin_01_00163,janagahanaya væḍi vat ma poḷovē noyek ataṭa vihida pætirī giya janatāva samaga ma mē raja parapurē pālakayō da vena vena pedes pālanaya karana rajun vaśayen bedī giyaha.
sin_01_00164,akusala karmavala asōbhana vipākat kusala karma vala sōbhana vipākat mē kathāven da manāvaṭa pennum karayi.
sin_01_00165,"satpuruşa pinvatuni, pera ǣta atītayē kāśyapa budun gē pirinivīmen pasu budurajun gē ēkaghaṇa dhātu nidan koṭa yodunak usaṭa caityayak karana samayēdī maha rahatan vahansē namak caityayaṭa rattraṁ sammādam karamin ek rankaruvaku gē nivasaṭa væḍi sēka."
sin_01_00166,eviṭa rankaru tama bhāryāva samaṉga kalaha karamin siṭi bævin terun vahansē obalāgē caityayehi væḍa nimavīma saṉdahā ran no penenā bava matak kala viṭa bhāryāva samaṉga tibuṇu kōpayen 'numba vahansē gē śāstṛn vahansē jalayē damā yannæ yi' kīvē ya.
sin_01_00167,ē mohotē tama bhāryāva kerehi kōpa vuni nam maṭa no bæna budurajāṇan vahansēlāṭa vaira kirīma (doskīma) væradi bava kī viṭa rankaru saṁvēgayaṭa patvī terun vahansēgen samāva illī ya.
sin_01_00168,"budurajungen eyaṭa samāva ganna kī viṭa kumak koṭa samāva gata yutu dæyi asā, ranin mal pokuru tunak koṭa caityayē nidankoṭa tet vū kes ætiva samāva gata yutu bava matak koṭa unvahansē væḍi sēka."
sin_01_00169,pasuva rankaru ranin mal sādamin tamāgē putun dedenāgen væḍimahalu putāṭa ē saṉdahā udavvaṭa katā kala namut ohugen læbunē 'oba kaḷa varada obama balā ganna' kiyā ya.
sin_01_00170,devæni putāt kæṉdavā kī namut yahapat praticārayak no vīya. ohu da pera sēma kīvē ya.
sin_01_00171,mavpiyanṭa ādaraya æti tunvana putāṭa matakkala pamaṇin piḷigena 'mavpiyanṭa upan kṛtya daruvanṭa bārayi nēda' sitā piyāṭa sahaya vī dedenā samaṉga mal pokuru tunak sādā dhātu nidhānayē nidankoṭa samākara gattē ya.
sin_01_00172,pahan pūjāvē ānisaṁsa
sin_01_00173,pañcadīpikā teraṇin vahansē pera budu sasunaka kaḷuvara ræyaka bōdhin vahansēṭa pahan pahak pidū pinen asū vārayak devlovaṭa adhipati sak deviṉdu gē biriṉda vī upannā ya.
sin_01_00174,dahas gaṇan sakviti raja daruvanṭa aga mehesiya vuṇā ya.
sin_01_00175,apa budusasunēdī sat avurudu viyēdī nivan dækīmaṭada ē pina upaniśraya vī æta.
sin_01_00176,(nava vana thērī apadānaya)
sin_01_00177,sakulā teraṇiya kāśyapa budurajun pirinivīmen pasu unvahansē gē caityayaṭa ek ræyak ek pahanak pudā pahata saṉdahan ānisaṁsa læbuṇu bava thēri apadānē dakvā ættē ya.
sin_01_00178,sǣma tænama tamāṭa pradīpa dæl vē.
sin_01_00179,divæs læbē.
sin_01_00180,tīkşaṇa nuvaṇa læbē.
sin_01_00181,yasasin diliset.
sin_01_00182,śraddhāva hā pragnāva manāva pihiṭat.
sin_01_00183,usas kula sampat ætteku vē.
sin_01_00184,ēkadīpiya himi siddhārtha budurajun gē citakayaṭa ek pahanak pudā ek tis varak sak deviṉdu viya.
sin_01_00185,visi aṭa vatāvak sakviti raja bava da læbuvā.
sin_01_00186,tava viśēşa anusas dekak da læbuvā.
sin_01_00187,vişama sthāna valaṭa yana viṭa samavennā ha.
sin_01_00188,vinivida penena denet ættek viya.
sin_01_00189,pātra ādhāra himi pera sikhī budu himiṭa pātra ādhārayak pudā samantavaraṇa nam sakviti raja viya.
sin_01_00190,khujjuttarāva mahā dharma kathika uvæsiyak vuṇē da pera pasē budunṭa tama atē dāgena siṭi vaḷalu aṭa galavā pātra ādhāra lesa pidū pina hētuveni.
sin_01_00191,pātraya no væṭī darā siṭīmaṭa meya upakāra vuṇā vagē ma æyaṭa da dharmaya darā siṭīmē śaktiya æti viya.
